SubscriptionGuid,ResourceGroup,ResourceLocation,UsageDateTime,MeterCategory,MeterSubcategory,MeterId,MeterName,MeterRegion,UsageQuantity,ResourceRate,PreTaxCost,ConsumedService,ResourceType,InstanceId,Tags,OfferId,AdditionalInfo,ServiceInfo1,ServiceInfo2,ServiceName,ServiceTier,Currency
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-02,Storage,Standard SSD Managed Disks,ce957933-8287-4f8b-83ee-53a5cbe056d9,Disk Operations,,20.7126,0.0016866,0.03493387116,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-OSDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-VMBackup,EU West,2019-04-01,Backup,,d17674bb-cb9c-45f0-8eb4-bd325b8c2606,GRS Data Stored,,0.36396,0.0404784,0.014732518464,Microsoft.RecoveryServices,Microsoft.RecoveryServices/vaults,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-VMBackup/providers/Microsoft.RecoveryServices/vaults/VMOne-Vault,,,,,,Backup,Backup Storage,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-01,Storage,Standard SSD Managed Disks,ce957933-8287-4f8b-83ee-53a5cbe056d9,Disk Operations,,20.2897,0.0016866,0.03422060802,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-OSDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,defaultresourcegroup-weu,EU West,2019-04-02,Insight and Analytics,,6a11eb4c-01de-4438-88e0-e95b41869197,Data Included per Node,,0.000243749334857,0,0,microsoft.operationalinsights,microsoft.operationalinsights/workspaces,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourcegroups/defaultresourcegroup-weu/providers/microsoft.operationalinsights/workspaces/defaultworkspace-f55edc34-b2f6-42f6-b100-9f68e5110bb7-weu,,,,,,Insight and Analytics,OMS - Insight and Security Data,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-03,Storage,Standard SSD Managed Disks,ce957933-8287-4f8b-83ee-53a5cbe056d9,Disk Operations,,3.6783,0.0016866,0.00620382078,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-DataDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-AAutomation,EU West,2019-04-02,Automation,Process,95eca2c1-9519-4c55-baa1-9a0e0b201e25,Basic Runtime,,0.166666666666667,0.0016866,0.0002811,Microsoft.Automation,Microsoft.Automation/automationAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-AAutomation/providers/Microsoft.Automation/automationAccounts/myAutomationAccount,,,,,,Automation,Process,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-02,Storage,Standard SSD Managed Disks,ce957933-8287-4f8b-83ee-53a5cbe056d9,Disk Operations,,4.0602,0.0016866,0.00684793332,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-DataDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-03,Bandwidth,,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,Zone 1,0.005106,0.073367099999999,0.0003746124126,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/virtualMachines/BackupAzureVM,,,"{  ""ImageType"": null,  ""ServiceType"": null,  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 0,  ""UsageType"": ""DataTrOut""}",,,Bandwidth,Bandwidth - Outbound Data Transfer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,dnsrg,Unknown,2019-04-01,Azure DNS,,8f967c58-b144-4bd7-8882-8bf02767c839,Public Zones,,0.032258064516129,0.421650000000001,0.013601612903226,Microsoft.Network,Microsoft.Network/dnszones,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/dnsrg/providers/Microsoft.Network/dnszones/contoso.azure,,,,,,Azure DNS,Public DNS,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-AAutomation,EU West,2019-04-01,Automation,Process,95eca2c1-9519-4c55-baa1-9a0e0b201e25,Basic Runtime,,0.166666666666667,0.0016866,0.0002811,Microsoft.Automation,Microsoft.Automation/automationAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-AAutomation/providers/Microsoft.Automation/automationAccounts/myAutomationAccount,,,,,,Automation,Process,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,cloud-shell-storage-westeurope,EU West,2019-04-01,Storage,Files,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,LRS Data Stored,,0.166656,0.050598,0.008432460288,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csbf55edc34b2f6x42f6xb10,"""ms-resource-usage"": ""azure-cloud-shell""",,,,,Storage,Files,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,TestRG,EU North,2019-04-02,Storage,Tables,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Batch Write Operations,,0.0152,0.000303588,0.0000046145376,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/TestRG/providers/Microsoft.Storage/storageAccounts/bfrankfiles,,,,,,Storage,Tables,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,TestRG,EU North,2019-04-01,Storage,Tiered Block Blob,c3867359-7044-4ef7-9049-01ef23565e7b,Hot LRS Data Stored,EU North,0.17532,0.0185526,0.003252641832,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/TestRG/providers/Microsoft.Storage/storageAccounts/bfrankfiles,,,,,,Storage,Tiered Block Blobs v2,EUR
